,Beeds Lake,Beeds Lake,Black Hawk,Black Hawk,Brushy Creek,Brushy Creek,Clear Lake,Clear Lake,Denison,Denison,Lower Pine Lake,Lower Pine Lake,North Twin,North Twin,Rock Creek,Rock Creek,Backbone,Backbone,Big Creek,Big Creek,Big Spirit,Big Spirit,West Okoboji,West Okoboji,George Wyth,George Wyth,Green Valley,Green Valley,Rathburn Lake,Rathburn Lake,Lacey Keosauqua,Lacey Keosauqua,Lake Ahquabi,Lake Ahquabi,Lake Anita,Lake Anita,Lake Darling,Lake Darling,Lake Keomah,Lake Keomah,Lake Macbride,Lake Macbride,Lake Manawa,Lake Manawa,Lake of Three Fires,Lake of Three Fires,Lake Wapello,Lake Wapello,Blue Lake,Blue Lake,Nine Eagles,Nine Eagles,Prairie Rose,Prairie Rose,Red Haw,Red Haw,Springbrook,Springbrook,Union Grove,Union Grove,Viking Lake,Viking Lake
Big Spirit,0.170366977,0.577890898,0.484132116,0.093655057,0.581530469,0.037098254,0.144450381,0.637764034,0.644400263,0.023701533,0.141133815,0.645584036,0.500760052,0.081326695,0.403969913,0.171005233,0.651956813,0.015749608,0.518602729,0.069401153,1,NA,0.10488691,0.733094223,0.415346679,0.179362579,0.164871503,0.608611785,0.333973835,0.264749021,0.288441794,0.339208889,0.466363618,0.10818239,0.47427248,0.101539983,0.602647632,0.029261741,0.690185302,0.009025301,0.437024182,0.135372609,0.586843691,0.034997739,0.473398007,0.102260416,0.350990574,0.239640313,0.604921606,0.02849717,-0.144210576,0.638328317,0.383374432,0.19597884,0.277099305,0.359374477,0.477654028,0.098786607,0.52828097,0.063473968,0.473828165,0.101905598
West Okoboji,0.678471967,0.010791974,-0.056765026,0.853861956,-0.229007521,0.451696827,0.935533821,2.66E-06,0.21276158,0.506749375,0.844526312,0.000280936,-0.190910873,0.532121628,0.665180523,0.013100999,-0.059732198,0.846302705,-0.246316277,0.417230995,0.10488691,0.733094223,1,NA,-0.210749732,0.510870341,-0.378035022,0.225657644,-0.062321216,0.839716707,0.764559935,0.002335422,-0.05725077,0.852623656,-0.313367801,0.297144286,-0.034824663,0.910075773,-0.089670433,0.770805914,-0.239703169,0.430239358,0.155564924,0.6118118,-0.109185758,0.722535552,-0.091973467,0.765066181,-0.096571026,0.753641152,0.471816083,0.103572499,-0.180780622,0.554493061,0.302062495,0.315835892,-0.231542337,0.446565314,-0.09972239,0.745836387,-0.292163012,0.332731416
George Wyth,-0.042748024,0.895055687,0.744162577,0.005512296,0.778194069,0.002873688,-0.006740889,0.983412098,0.800645775,0.003068551,-0.085803643,0.790901706,0.801439739,0.001723087,0.427076411,0.166146271,-0.095779545,0.767151913,0.765515766,0.003707695,0.415346679,0.179362579,-0.210749732,0.510870341,1,NA,0.81433712,0.001260477,0.583800342,0.046266277,0.234292361,0.46359034,0.189446069,0.55538649,0.820439524,0.001078219,0.509276911,0.090808669,0.542000488,0.068704132,0.895719208,8.13E-05,0.798379866,0.001849778,0.684010465,0.014161596,0.521255476,0.082228271,0.914204538,3.17E-05,0.260807517,0.412929626,0.682013047,0.014559791,0.295487641,0.351098787,0.654985344,0.020795515,0.811765786,0.001344002,0.598422033,0.039818249
Green Valley,-0.153831773,0.633122838,0.717658613,0.008591074,0.608183142,0.035886806,-0.140269537,0.663702425,0.641597071,0.033345249,-0.212735561,0.506802576,0.651699573,0.021668087,0.174935119,0.58658471,-0.155793352,0.628741932,0.571760073,0.052102614,0.164871503,0.608611785,-0.378035022,0.225657644,0.81433712,0.001260477,1,NA,0.510969112,0.089561427,0.037395766,0.908142736,0.089730716,0.781531828,0.694023655,0.012285403,0.605072014,0.037108326,0.455442766,0.136784757,0.860742422,0.000324929,0.634533484,0.026665971,0.714130953,0.009081402,0.434036894,0.158602901,0.610342273,0.035056134,0.387377696,0.213454852,0.880953761,0.000153693,0.419699757,0.174383683,0.467605437,0.125302282,0.537040101,0.071787371,0.544371181,0.067263315
Rathburn Lake,0.01830328,0.952675042,0.446375081,0.126263259,0.712713153,0.006253857,0.214588129,0.481421482,0.475083508,0.118565598,-0.210008713,0.49104775,0.849082443,0.000240749,0.341163001,0.253959213,-0.321999402,0.283310078,0.732523782,0.004403455,0.333973835,0.264749021,-0.062321216,0.839716707,0.583800342,0.046266277,0.510969112,0.089561427,1,NA,0.308648601,0.304868148,0.078023207,0.799993148,0.815785813,0.000673522,0.301121222,0.317421236,0.528413544,0.063395348,0.784242402,0.001505379,0.52720509,0.064114548,0.377157383,0.203942667,0.898424687,3.01E-05,0.704179045,0.007213307,0.404847678,0.169988643,0.472233897,0.10322485,0.547156816,0.052957725,0.823659434,0.000538277,0.740415093,0.003797651,0.838048822,0.000347059
Lacey Keosauqua,0.635759456,0.019518428,0.190621077,0.532756118,0.240574054,0.428514867,0.837407784,0.000354221,0.580245013,0.047939092,0.553992432,0.049476311,0.314860769,0.294724305,0.93925458,1.93E-06,-0.050707043,0.86933053,0.329172319,0.272103342,0.288441794,0.339208889,0.764559935,0.002335422,0.234292361,0.46359034,0.037395766,0.908142736,0.308648601,0.304868148,1,NA,0.024618559,0.936372124,0.121405084,0.69277429,0.439131685,0.133282776,0.356984572,0.231151516,0.330508962,0.270044161,0.584095677,0.036073009,0.281221931,0.351971807,0.335504917,0.262428822,0.317948113,0.289755948,0.688496644,0.009265367,0.116123333,0.705591439,0.723757888,0.005161009,0.081511179,0.791225643,0.274097025,0.36481763,0.22037622,0.469381746
Lake Ahquabi,-0.420963339,0.15201049,0.123979795,0.686553233,0.159583191,0.602529012,-0.166679183,0.586270784,0.282176032,0.374219046,0.092074514,0.764814598,0.234774477,0.440063583,0.002635077,0.993183392,0.269189467,0.3738092,0.395840403,0.18060546,0.466363618,0.10818239,-0.05725077,0.852623656,0.189446069,0.55538649,0.089730716,0.781531828,0.078023207,0.799993148,0.024618559,0.936372124,1,NA,0.141239828,0.645333547,0.395514298,0.180997544,0.531732964,0.06144915,0.267951619,0.376095528,0.467024001,0.107616806,-0.014243317,0.963165182,0.212402085,0.486005702,0.353286239,0.236367258,-0.010839286,0.971964799,0.166101286,0.587588313,-0.00734377,0.981003942,0.059766437,0.846215545,0.198316958,0.516018728,0.182381557,0.55093159
Lake Anita,-0.09062598,0.768423133,0.50854387,0.075961939,0.74209723,0.003677301,-0.036980784,0.904530397,0.607672552,0.03608528,-0.383962449,0.195235857,0.942067117,1.50E-06,0.313162357,0.29747818,-0.061070344,0.842897526,0.809170908,0.000806729,0.47427248,0.101539983,-0.313367801,0.297144286,0.820439524,0.001078219,0.694023655,0.012285403,0.815785813,0.000673522,0.121405084,0.69277429,0.141239828,0.645333547,1,NA,0.466079089,0.108426694,0.664088796,0.013305955,0.867993808,0.000119757,0.569731574,0.042088205,0.438382552,0.134023166,0.706256293,0.006970064,0.810923698,0.000769572,0.10938863,0.722038366,0.539805906,0.056892903,0.401967858,0.173338468,0.890890505,4.40E-05,0.684245793,0.009891182,0.804170984,0.000920538
Lake Darling,0.166787516,0.586023929,0.391157235,0.186288001,0.519516435,0.068825603,0.095448114,0.756427445,0.694325106,0.012231941,-0.058958585,0.848272441,0.58509931,0.03567755,0.51718691,0.070299645,0.42239517,0.150475737,0.639962726,0.018481926,0.602647632,0.029261741,-0.034824663,0.910075773,0.509276911,0.090808669,0.605072014,0.037108326,0.301121222,0.317421236,0.439131685,0.133282776,0.395514298,0.180997544,0.466079089,0.108426694,1,NA,0.795137312,0.001157908,0.694374127,0.00845022,0.719005891,0.00561151,0.54323831,0.05503043,0.399076928,0.176743343,0.473549277,0.102135545,0.264744931,0.382052554,0.578314932,0.038413123,0.733404269,0.004332396,0.250967964,0.40820137,0.277914195,0.357904655,0.537993051,0.057894448
Lake Keomah,-0.016398173,0.957596681,0.371962395,0.210749375,0.626155264,0.0220487,0.055854815,0.856183168,0.701645283,0.010985872,-0.156656023,0.609285846,0.727932151,0.004788711,0.464592411,0.109709258,0.291086645,0.334597961,0.828621599,0.000464753,0.690185302,0.009025301,-0.089670433,0.770805914,0.542000488,0.068704132,0.455442766,0.136784757,0.528413544,0.063395348,0.356984572,0.231151516,0.531732964,0.06144915,0.664088796,0.013305955,0.795137312,0.001157908,1,NA,0.726855512,0.004882688,0.819723742,0.000602889,0.41300384,0.160727677,0.62917612,0.021228045,0.656679413,0.014761469,0.195273025,0.522610789,0.471881707,0.103517843,0.563634062,0.044848747,0.526745687,0.06438946,0.492087902,0.087606785,0.724120154,0.005127844
Lake Macbride,-0.040950021,0.894332407,0.633209453,0.020167984,0.837517965,0.000352982,0.026863158,0.930582877,0.73049755,0.006971937,-0.227002734,0.455775447,0.91642628,1.07E-05,0.439526907,0.132893258,-0.131233296,0.669125759,0.86116402,0.000155896,0.437024182,0.135372609,-0.239703169,0.430239358,0.895719208,8.13E-05,0.860742422,0.000324929,0.784242402,0.001505379,0.330508962,0.270044161,0.267951619,0.376095528,0.867993808,0.000119757,0.694374127,0.00845022,0.726855512,0.004882688,1,NA,0.767926361,0.002172809,0.636149765,0.019420399,0.784577169,0.001493614,0.849881379,0.000234201,0.424103638,0.148657723,0.717725647,0.005737891,0.601234856,0.029744273,0.70808936,0.00676067,0.728069556,0.004776818,0.816698095,0.000656606
Lake Manawa,0.171777114,0.574699417,0.681863991,0.01025557,0.707555572,0.006821141,0.315662542,0.293429373,0.914714252,3.08E-05,0.168158124,0.58290435,0.625409572,0.022254848,0.680371158,0.01048909,0.012729086,0.967079137,0.781423209,0.001607358,0.586843691,0.034997739,0.155564924,0.6118118,0.798379866,0.001849778,0.634533484,0.026665971,0.52720509,0.064114548,0.584095677,0.036073009,0.467024001,0.107616806,0.569731574,0.042088205,0.719005891,0.00561151,0.819723742,0.000602889,0.767926361,0.002172809,1,NA,0.61704261,0.024667068,0.543343543,0.054974025,0.795709091,0.001141592,0.538066262,0.05785376,0.67461576,0.011427302,0.529245014,0.062903824,0.342802034,0.25153653,0.668495398,0.012493239,0.533710033,0.060310269
Lake of Three Fires,0.049929663,0.871318721,0.873977982,9.39E-05,0.660085003,0.014078345,0.040197729,0.896264135,0.789656054,0.002250374,0.125192895,0.683628385,0.414576437,0.158980373,0.36077413,0.225880297,0.143877959,0.639111291,0.438320671,0.134084446,0.473398007,0.102260416,-0.109185758,0.722535552,0.684010465,0.014161596,0.714130953,0.009081402,0.377157383,0.203942667,0.281221931,0.351971807,-0.014243317,0.963165182,0.438382552,0.134023166,0.54323831,0.05503043,0.41300384,0.160727677,0.636149765,0.019420399,0.61704261,0.024667068,1,NA,0.342825019,0.251502654,0.595694084,0.031693192,0.400415495,0.175161553,0.820377821,0.000591747,0.358821604,0.228586983,0.337516951,0.259398121,0.739756149,0.003845617,0.502747059,0.079932983
Lake Wapello,-0.00721103,0.981347245,0.31402609,0.296075855,0.73707656,0.004045514,0.136243935,0.657174942,0.480969032,0.113434457,-0.176465928,0.564139242,0.839150691,0.000335018,0.32991663,0.270955554,-0.277134108,0.359311637,0.733995962,0.004285143,0.350990574,0.239640313,-0.091973467,0.765066181,0.521255476,0.082228271,0.434036894,0.158602901,0.898424687,3.01E-05,0.335504917,0.262428822,0.212402085,0.486005702,0.706256293,0.006970064,0.399076928,0.176743343,0.62917612,0.021228045,0.784577169,0.001493614,0.543343543,0.054974025,0.342825019,0.251502654,1,NA,0.693133758,0.008617513,0.400846254,0.174654452,0.395122061,0.181469856,0.580944599,0.03733535,0.789887064,0.001316447,0.669615697,0.012292732,0.892295882,4.11E-05
Blue Lake,0.034175946,0.91174497,0.712521567,0.00627426,0.876872594,8.31E-05,0.103029581,0.737669654,0.810432002,0.00138897,-0.01973738,0.948971208,0.822387534,0.000558527,0.487094019,0.091370863,-0.095913435,0.755272507,0.810773286,0.000772707,0.604921606,0.02849717,-0.096571026,0.753641152,0.914204538,3.17E-05,0.610342273,0.035056134,0.704179045,0.007213307,0.317948113,0.289755948,0.353286239,0.236367258,0.810923698,0.000769572,0.473549277,0.102135545,0.656679413,0.014761469,0.849881379,0.000234201,0.795709091,0.001141592,0.595694084,0.031693192,0.693133758,0.008617513,1,NA,0.262853229,0.385589811,0.630199965,0.020955123,0.285103388,0.345078403,0.709369945,0.006617268,0.865125614,0.000134012,0.680989563,0.010391871
Nine Eagles,0.242330208,0.425047897,0.390854485,0.186659196,0.206883048,0.497668482,0.60301611,0.029136838,0.546373655,0.066062643,0.470321797,0.10482235,0.226513395,0.456773661,0.575202998,0.039717504,-0.547869023,0.052587072,0.216553054,0.477318229,-0.144210576,0.638328317,0.471816083,0.103572499,0.260807517,0.412929626,0.387377696,0.213454852,0.404847678,0.169988643,0.688496644,0.009265367,-0.010839286,0.971964799,0.10938863,0.722038366,0.264744931,0.382052554,0.195273025,0.522610789,0.424103638,0.148657723,0.538066262,0.05785376,0.400415495,0.175161553,0.400846254,0.174654452,0.262853229,0.385589811,1,NA,0.446059076,0.126564249,0.593540864,0.032475212,0.025745438,0.933465314,0.340159497,0.255449339,0.22110296,0.467880216
Prairie Rose,-0.002868861,0.992578636,0.889659846,4.67E-05,0.655603349,0.014982405,0.030539308,0.921108297,0.779965363,0.002769666,0.058350145,0.849822193,0.474031931,0.101737814,0.239031205,0.431572307,-0.072486784,0.813953762,0.450310266,0.122554912,0.383374432,0.19597884,-0.180780622,0.554493061,0.682013047,0.014559791,0.880953761,0.000153693,0.472233897,0.10322485,0.116123333,0.705591439,0.166101286,0.587588313,0.539805906,0.056892903,0.578314932,0.038413123,0.471881707,0.103517843,0.717725647,0.005737891,0.67461576,0.011427302,0.820377821,0.000591747,0.395122061,0.181469856,0.630199965,0.020955123,0.446059076,0.126564249,1,NA,0.3463314,0.246366716,0.341975018,0.252757226,0.617287993,0.024593689,0.457792783,0.115705895
Red Haw,0.411857648,0.162008989,0.156687615,0.609212767,0.363437377,0.222220062,0.497850423,0.083397807,0.507197008,0.09235765,0.049012906,0.873664272,0.587330361,0.034809772,0.682509691,0.010155796,0.029654989,0.92338663,0.517859566,0.069871761,0.277099305,0.359374477,0.302062495,0.315835892,0.295487641,0.351098787,0.419699757,0.174383683,0.547156816,0.052957725,0.723757888,0.005161009,-0.00734377,0.981003942,0.401967858,0.173338468,0.733404269,0.004332396,0.563634062,0.044848747,0.601234856,0.029744273,0.529245014,0.062903824,0.358821604,0.228586983,0.580944599,0.03733535,0.285103388,0.345078403,0.593540864,0.032475212,0.3463314,0.246366716,1,NA,0.319231478,0.287704964,0.223724503,0.462482795,0.590565482,0.033578919
Springbrook,-0.097863687,0.750437056,0.358965731,0.228386515,0.669834451,0.012253865,-0.004456673,0.988471378,0.397406907,0.200810153,-0.272371133,0.367966507,0.874934483,9.02E-05,0.205743139,0.500093088,-0.06074111,0.843735098,0.626800321,0.021871519,0.477654028,0.098786607,-0.231542337,0.446565314,0.654985344,0.020795515,0.467605437,0.125302282,0.823659434,0.000538277,0.081511179,0.791225643,0.059766437,0.846215545,0.890890505,4.40E-05,0.250967964,0.40820137,0.526745687,0.06438946,0.70808936,0.00676067,0.342802034,0.25153653,0.337516951,0.259398121,0.789887064,0.001316447,0.709369945,0.006617268,0.025745438,0.933465314,0.341975018,0.252757226,0.319231478,0.287704964,1,NA,0.673867667,0.011553761,0.831173709,0.000430172
Union Grove,-0.107753201,0.726049221,0.783205708,0.001542272,0.798600199,0.001061837,0.067550298,0.82644452,0.71151288,0.00945858,0.020993254,0.945728448,0.670644261,0.01211079,0.349515168,0.241758229,-0.107348681,0.727042294,0.69552755,0.008296885,0.52828097,0.063473968,-0.09972239,0.745836387,0.811765786,0.001344002,0.537040101,0.071787371,0.740415093,0.003797651,0.274097025,0.36481763,0.198316958,0.516018728,0.684245793,0.009891182,0.277914195,0.357904655,0.492087902,0.087606785,0.728069556,0.004776818,0.668495398,0.012493239,0.739756149,0.003845617,0.669615697,0.012292732,0.865125614,0.000134012,0.340159497,0.255449339,0.617287993,0.024593689,0.223724503,0.462482795,0.673867667,0.011553761,1,NA,0.706340377,0.006960351
Viking Lake,-0.161530477,0.598050142,0.35613444,0.23234421,0.705561883,0.007050669,-0.072765478,0.813249764,0.518543612,0.084120433,-0.36180743,0.224455839,0.8854521,5.68E-05,0.279981233,0.35419088,0.024930157,0.935568276,0.819244281,0.000611161,0.473828165,0.101905598,-0.292163012,0.332731416,0.598422033,0.039818249,0.544371181,0.067263315,0.838048822,0.000347059,0.22037622,0.469381746,0.182381557,0.55093159,0.804170984,0.000920538,0.537993051,0.057894448,0.724120154,0.005127844,0.816698095,0.000656606,0.533710033,0.060310269,0.502747059,0.079932983,0.892295882,4.11E-05,0.680989563,0.010391871,0.22110296,0.467880216,0.457792783,0.115705895,0.590565482,0.033578919,0.831173709,0.000430172,0.706340377,0.006960351,1,NA
