,Beeds Lake,Beeds Lake,Black Hawk,Black Hawk,Brushy Creek,Brushy Creek,Clear Lake,Clear Lake,Denison,Denison,Lower Pine Lake,Lower Pine Lake,North Twin,North Twin,Rock Creek,Rock Creek,Backbone,Backbone,Big Creek,Big Creek,Big Spirit,Big Spirit,West Okoboji,West Okoboji,George Wyth,George Wyth,Green Valley,Green Valley,Rathburn Lake,Rathburn Lake,Lacey Keosauqua,Lacey Keosauqua,Lake Ahquabi,Lake Ahquabi,Lake Anita,Lake Anita,Lake Darling,Lake Darling,Lake Keomah,Lake Keomah,Lake Macbride,Lake Macbride,Lake Manawa,Lake Manawa,Lake of Three Fires,Lake of Three Fires,Lake Wapello,Lake Wapello,Blue Lake,Blue Lake,Nine Eagles,Nine Eagles,Prairie Rose,Prairie Rose,Red Haw,Red Haw,Springbrook,Springbrook,Union Grove,Union Grove,Viking Lake,Viking Lake
Big Spirit,0.17,0.58,0.48,0.09,0.58,0.04,0.14,0.64,0.64,0.02,0.14,0.65,0.50,0.08,0.40,0.17,0.65,0.02,0.52,0.07,1.00,NA,0.10,0.73,0.42,0.18,0.16,0.61,0.33,0.26,0.29,0.34,0.47,0.11,0.47,0.10,0.60,0.03,0.69,0.01,0.44,0.14,0.59,0.03,0.47,0.10,0.35,0.24,0.60,0.03,-0.14,0.64,0.38,0.20,0.28,0.36,0.48,0.10,0.53,0.06,0.47,0.10
West Okoboji,0.68,0.01,-0.06,0.85,-0.23,0.45,0.94,0.00,0.21,0.51,0.84,0.00,-0.19,0.53,0.67,0.01,-0.06,0.85,-0.25,0.42,0.10,0.73,1.00,NA,-0.21,0.51,-0.38,0.23,-0.06,0.84,0.76,0.00,-0.06,0.85,-0.31,0.30,-0.03,0.91,-0.09,0.77,-0.24,0.43,0.16,0.61,-0.11,0.72,-0.09,0.77,-0.10,0.75,0.47,0.10,-0.18,0.55,0.30,0.32,-0.23,0.45,-0.10,0.75,-0.29,0.33
George Wyth,-0.04,0.90,0.74,0.01,0.78,0.00,-0.01,0.98,0.80,0.00,-0.09,0.79,0.80,0.00,0.43,0.17,-0.10,0.77,0.77,0.00,0.42,0.18,-0.21,0.51,1.00,NA,0.81,0.00,0.58,0.05,0.23,0.46,0.19,0.56,0.82,0.00,0.51,0.09,0.54,0.07,0.90,0.00,0.80,0.00,0.68,0.01,0.52,0.08,0.91,0.00,0.26,0.41,0.68,0.01,0.30,0.35,0.65,0.02,0.81,0.00,0.60,0.04
Green Valley,-0.15,0.63,0.72,0.01,0.61,0.04,-0.14,0.66,0.64,0.03,-0.21,0.51,0.65,0.02,0.17,0.59,-0.16,0.63,0.57,0.05,0.16,0.61,-0.38,0.23,0.81,0.00,1.00,NA,0.51,0.09,0.04,0.91,0.09,0.78,0.69,0.01,0.61,0.04,0.46,0.14,0.86,0.00,0.63,0.03,0.71,0.01,0.43,0.16,0.61,0.04,0.39,0.21,0.88,0.00,0.42,0.17,0.47,0.13,0.54,0.07,0.54,0.07
Rathburn Lake,0.02,0.95,0.45,0.13,0.71,0.01,0.21,0.48,0.48,0.12,-0.21,0.49,0.85,0.00,0.34,0.25,-0.32,0.28,0.73,0.00,0.33,0.26,-0.06,0.84,0.58,0.05,0.51,0.09,1.00,NA,0.31,0.30,0.08,0.80,0.82,0.00,0.30,0.32,0.53,0.06,0.78,0.00,0.53,0.06,0.38,0.20,0.90,0.00,0.70,0.01,0.40,0.17,0.47,0.10,0.55,0.05,0.82,0.00,0.74,0.00,0.84,0.00
Lacey Keosauqua,0.64,0.02,0.19,0.53,0.24,0.43,0.84,0.00,0.58,0.05,0.55,0.05,0.31,0.29,0.94,0.00,-0.05,0.87,0.33,0.27,0.29,0.34,0.76,0.00,0.23,0.46,0.04,0.91,0.31,0.30,1.00,NA,0.02,0.94,0.12,0.69,0.44,0.13,0.36,0.23,0.33,0.27,0.58,0.04,0.28,0.35,0.34,0.26,0.32,0.29,0.69,0.01,0.12,0.71,0.72,0.01,0.08,0.79,0.27,0.36,0.22,0.47
Lake Ahquabi,-0.42,0.15,0.12,0.69,0.16,0.60,-0.17,0.59,0.28,0.37,0.09,0.76,0.23,0.44,0.00,0.99,0.27,0.37,0.40,0.18,0.47,0.11,-0.06,0.85,0.19,0.56,0.09,0.78,0.08,0.80,0.02,0.94,1.00,NA,0.14,0.65,0.40,0.18,0.53,0.06,0.27,0.38,0.47,0.11,-0.01,0.96,0.21,0.49,0.35,0.24,-0.01,0.97,0.17,0.59,-0.01,0.98,0.06,0.85,0.20,0.52,0.18,0.55
Lake Anita,-0.09,0.77,0.51,0.08,0.74,0.00,-0.04,0.90,0.61,0.04,-0.38,0.20,0.94,0.00,0.31,0.30,-0.06,0.84,0.81,0.00,0.47,0.10,-0.31,0.30,0.82,0.00,0.69,0.01,0.82,0.00,0.12,0.69,0.14,0.65,1.00,NA,0.47,0.11,0.66,0.01,0.87,0.00,0.57,0.04,0.44,0.13,0.71,0.01,0.81,0.00,0.11,0.72,0.54,0.06,0.40,0.17,0.89,0.00,0.68,0.01,0.80,0.00
Lake Darling,0.17,0.59,0.39,0.19,0.52,0.07,0.10,0.76,0.69,0.01,-0.06,0.85,0.59,0.04,0.52,0.07,0.42,0.15,0.64,0.02,0.60,0.03,-0.03,0.91,0.51,0.09,0.61,0.04,0.30,0.32,0.44,0.13,0.40,0.18,0.47,0.11,1.00,NA,0.80,0.00,0.69,0.01,0.72,0.01,0.54,0.06,0.40,0.18,0.47,0.10,0.26,0.38,0.58,0.04,0.73,0.00,0.25,0.41,0.28,0.36,0.54,0.06
Lake Keomah,-0.02,0.96,0.37,0.21,0.63,0.02,0.06,0.86,0.70,0.01,-0.16,0.61,0.73,0.00,0.46,0.11,0.29,0.33,0.83,0.00,0.69,0.01,-0.09,0.77,0.54,0.07,0.46,0.14,0.53,0.06,0.36,0.23,0.53,0.06,0.66,0.01,0.80,0.00,1.00,NA,0.73,0.00,0.82,0.00,0.41,0.16,0.63,0.02,0.66,0.01,0.20,0.52,0.47,0.10,0.56,0.04,0.53,0.06,0.49,0.09,0.72,0.01
